userId,movieId,rating
1,1193,5
1,661,3
1,2355,5
1,1197,3
1,1287,5
1,594,4
1,595,5
1,2398,4
1,1035,5
1,2791,4
1,2018,4
1,3105,5
1,720,3
1,1270,5
1,527,5
1,1097,4
1,1721,4
1,1545,4
1,745,3
1,3186,4
1,588,4
1,1907,4
1,783,4
1,1836,5
1,1022,5
1,2762,4
1,1,5
1,1962,4
1,2692,4
1,260,4
1,1028,5
1,1029,5
1,1207,4
1,531,4
1,3114,4
1,608,4
1,1246,4
2,3068,4
2,1537,4
2,2194,4
2,648,4
2,2268,5
2,1103,3
2,2916,3
2,3468,5
2,1210,4
2,1687,3
2,2881,3
2,3030,4
2,434,2
2,2126,3
2,3107,2
2,3108,3
2,3035,4
2,1253,3
2,3071,4
2,902,2
2,1188,4
2,3255,4
2,3256,2
2,3257,3
2,110,5
2,2278,3
2,3471,5
2,589,4
2,1690,3
2,2852,3
2,982,4
2,1873,4
2,2858,4
2,1225,5
2,2028,4
2,515,5
2,442,3
2,2312,3
2,265,4
2,1408,3
2,3699,2
2,480,5
2,1370,5
2,1193,5
2,1801,3
2,1372,3
2,2353,4
2,3334,4
2,590,5
2,1196,5
2,1552,3
2,736,4
2,593,5
2,2359,3
2,95,2
2,2571,4
2,2396,4
2,3735,3
2,1953,4
2,1954,5
2,1955,4
2,235,3
2,1124,5
2,1957,5
2,163,4
2,21,1
2,165,3
2,1090,2
2,380,5
2,2501,5
2,349,4
2,1527,4
2,3418,4
2,1385,3
2,3451,4
2,498,3
2,2002,5
2,2006,3
2,1207,4
2,1968,2
2,3678,3
2,1244,3
2,1246,5
2,3893,1
3,3421,4
3,1641,2
3,648,3
3,2735,4
3,3868,3
3,1079,5
3,2997,3
3,1291,4
3,653,4
3,2167,5
3,1580,3
3,3619,2
3,260,5
3,2858,4
3,3114,3
3,1049,4
3,1261,1
3,1265,2
3,1266,5
3,733,5
3,1196,4
3,2355,5
3,1197,5
3,593,3
3,1379,4
3,1270,3
3,2470,4
3,3168,4
3,2617,2
3,1961,4
3,3671,5
3,2115,4
3,1136,5
3,2081,4
4,3468,5
4,1210,3
4,1214,4
4,260,5
4,2028,5
4,480,4
4,1198,5
4,1097,4
4,3418,4
4,3702,4
4,2366,4
4,1387,5
4,3527,1
4,1201,5
4,2692,5
4,1240,5
5,2987,4
5,2333,4
5,288,2
5,2337,5
5,1535,4
5,1466,3
5,860,2
5,1683,3
5,2770,4
5,1759,4
5,501,1
5,3578,2
5,506,4
5,509,4
5,1610,4
5,2058,1
5,3799,3
5,2997,5
5,47,3
5,2700,4
5,296,4
5,581,3
5,1617,3
5,1909,3
5,3728,2
5,229,3
5,1046,5
5,515,4
5,800,2
5,52,2
5,1191,2
5,733,1
5,377,4
5,2353,3
5,1268,2
5,3083,5
5,2427,5
5,2428,3
5,2282,3
5,1554,3
5,1912,3
5,2716,3
5,2717,1
5,2571,5
5,2289,4
